order_no,time_type,order_state,receive_type,approve_date,created_at,driver_id,delivery_date,latest_delivery_date,accept_date,pickup_date,pass_date,local_area_flag
TY832B,1,4,2,2022/12/4 3:06,2022/12/4 3:06,25484,2022/12/4 3:44,2022/12/4 4:14,2022/12/4 3:10,2022/12/4 3:20,2022/12/4 3:38,0
NZ203T,1,4,2,2022/12/4 3:07,2022/12/4 3:06,70145,2022/12/4 3:59,2022/12/4 4:29,2022/12/4 3:17,2022/12/4 3:27,2022/12/4 3:40,0
WI649A,1,4,2,2022/12/4 3:09,2022/12/4 3:09,2165,2022/12/4 4:01,2022/12/4 4:31,2022/12/4 3:23,2022/12/4 3:52,2022/12/4 4:15,0
YN182B,1,4,2,2022/12/4 3:14,2022/12/4 3:13,19744,2022/12/4 3:46,2022/12/4 4:16,2022/12/4 3:22,2022/12/4 3:28,2022/12/4 3:39,0
HP459D,1,4,2,2022/12/4 3:20,2022/12/4 3:19,57175,2022/12/4 4:12,2022/12/4 4:42,2022/12/4 3:29,2022/12/4 3:41,2022/12/4 4:08,0
TP285W,1,6,2,,2022/12/4 3:24,0,2022/12/4 3:52,2022/12/4 4:22,,,,0
HO345Y,1,4,2,2022/12/4 3:26,2022/12/4 3:26,26871,2022/12/4 3:53,2022/12/4 4:23,2022/12/4 3:35,2022/12/4 3:39,2022/12/4 3:46,0
QV864Z,1,4,2,2022/12/4 3:28,2022/12/4 3:27,19744,2022/12/4 4:05,2022/12/4 4:35,2022/12/4 3:42,2022/12/4 3:52,2022/12/4 4:01,0
QE348Z,1,4,2,2022/12/4 3:29,2022/12/4 3:29,14973,2022/12/4 3:54,2022/12/4 4:24,2022/12/4 3:30,2022/12/4 3:36,2022/12/4 3:47,0
JF301F,1,4,2,2022/12/4 3:32,2022/12/4 3:31,12490,2022/12/4 3:59,2022/12/4 4:29,2022/12/4 3:34,2022/12/4 3:47,2022/12/4 3:57,0
HQ962N,1,3,2,,2022/12/4 3:33,0,2022/12/4 4:31,2022/12/4 5:01,,,,0
AL278Q,1,4,2,2022/12/4 3:36,2022/12/4 3:33,698,2022/12/4 4:06,2022/12/4 4:36,2022/12/4 3:54,2022/12/4 4:01,2022/12/4 4:08,0
HA375Q,1,4,2,2022/12/4 3:35,2022/12/4 3:34,62064,2022/12/4 4:05,2022/12/4 4:35,2022/12/4 4:01,2022/12/4 4:09,2022/12/4 4:19,0
SL406Q,1,7,2,2022/12/4 3:40,2022/12/4 3:37,0,2022/12/4 4:10,2022/12/4 4:40,,,,0
JD139L,1,4,2,2022/12/4 3:39,2022/12/4 3:38,65032,2022/12/4 4:41,2022/12/4 5:11,2022/12/4 3:52,2022/12/4 4:03,2022/12/4 4:19,0
XJ758D,1,6,2,,2022/12/4 3:39,0,2022/12/4 4:12,2022/12/4 4:42,,,,0
ZI208Y,2,4,2,2022/12/4 17:42,2022/12/4 3:41,65090,2022/12/4 19:15,2022/12/4 19:15,2022/12/4 17:42,2022/12/4 17:50,2022/12/4 19:16,0
WN189P,1,4,2,2022/12/4 3:43,2022/12/4 3:42,26871,2022/12/4 4:41,2022/12/4 5:11,2022/12/4 4:07,2022/12/4 4:14,2022/12/4 4:28,0
UD759N,1,4,2,2022/12/4 3:45,2022/12/4 3:44,35316,2022/12/4 4:14,2022/12/4 4:44,2022/12/4 4:12,2022/12/4 4:23,2022/12/4 4:32,0
MH275A,1,4,2,2022/12/4 3:47,2022/12/4 3:46,70145,2022/12/4 4:07,2022/12/4 4:37,2022/12/4 3:49,2022/12/4 3:55,2022/12/4 4:01,0
SW780O,1,3,2,,2022/12/4 3:48,0,2022/12/4 4:16,2022/12/4 4:46,,,,0
LQ125Z,1,5,2,,2022/12/4 3:51,0,2022/12/4 4:29,2022/12/4 4:59,,,,0
OI824U,1,4,2,2022/12/4 3:57,2022/12/4 3:57,70277,2022/12/4 4:20,2022/12/4 4:50,2022/12/4 4:19,2022/12/4 4:32,2022/12/4 4:38,0
NK275G,1,4,2,2022/12/4 4:00,2022/12/4 4:00,72261,2022/12/4 4:28,2022/12/4 4:58,2022/12/4 4:09,2022/12/4 4:12,2022/12/4 4:22,0
OZ542V,1,6,2,,2022/12/4 4:02,0,2022/12/4 4:30,2022/12/4 5:00,,,,0
GX276C,1,4,2,2022/12/4 4:10,2022/12/4 4:10,57175,2022/12/4 4:37,2022/12/4 5:07,2022/12/4 4:18,2022/12/4 4:29,2022/12/4 4:40,0
NQ620Z,1,4,2,2022/12/4 4:16,2022/12/4 4:12,2165,2022/12/4 4:45,2022/12/4 5:15,2022/12/4 4:21,2022/12/4 4:26,2022/12/4 4:37,0
YU176K,1,4,2,2022/12/4 4:23,2022/12/4 4:22,72261,2022/12/4 5:10,2022/12/4 5:40,2022/12/4 4:26,2022/12/4 4:35,2022/12/4 4:57,0
UF439V,2,4,2,2022/12/4 17:41,2022/12/4 4:23,65089,2022/12/4 19:15,2022/12/4 19:15,2022/12/4 17:42,2022/12/4 17:48,2022/12/4 19:16,0
NI023U,1,4,2,2022/12/4 4:32,2022/12/4 4:30,65032,2022/12/4 4:53,2022/12/4 5:23,2022/12/4 4:47,2022/12/4 4:54,2022/12/4 5:00,0
RZ962J,1,4,2,2022/12/4 4:32,2022/12/4 4:32,35316,2022/12/4 5:05,2022/12/4 5:35,2022/12/4 4:42,2022/12/4 4:44,2022/12/4 4:49,0
WD051C,1,4,2,2022/12/4 4:37,2022/12/4 4:37,62064,2022/12/4 5:30,2022/12/4 6:00,2022/12/4 4:45,2022/12/4 4:49,2022/12/4 5:12,0
UT478M,2,4,2,2022/12/4 17:37,2022/12/4 4:38,66978,2022/12/4 19:15,2022/12/4 19:15,2022/12/4 17:40,2022/12/4 17:47,2022/12/4 19:17,0
DE058A,1,4,2,2022/12/4 4:43,2022/12/4 4:43,35316,2022/12/4 5:16,2022/12/4 5:46,2022/12/4 4:53,2022/12/4 5:02,2022/12/4 5:13,0
SD415W,1,4,2,2022/12/4 4:44,2022/12/4 4:43,62064,2022/12/4 5:06,2022/12/4 5:36,2022/12/4 5:19,2022/12/4 5:31,2022/12/4 5:36,0
RK206U,1,4,2,2022/12/4 4:46,2022/12/4 4:45,2165,2022/12/4 5:33,2022/12/4 6:03,2022/12/4 4:51,2022/12/4 5:00,2022/12/4 5:24,0
